criticality,urgency,safety_risk,asset_importance,overdue,duration_hours,days_until_due,department,asset_type,task_type,corridor_id,high_delay_risk
3,5,2,1,True,2.48,-9,Engineering,OHE,Testing,DEL-AGR,0
1,2,2,1,False,1.15,37,Traction Distribution,Signal,Replacement,BPL-NGP,0
5,2,5,1,True,1.64,46,Traction Distribution,Bridge,Replacement,MAS-BLR,0
4,2,4,3,True,0.64,27,S&T,Track,Testing,BPL-NGP,1
4,2,4,5,False,1.01,55,Engineering,Track,Repair,HWH-KOL,0
1,1,3,4,False,1.96,9,Engineering,Track,Replacement,MUM-PUN,0
2,1,3,3,False,5.01,-11,Engineering,OHE,Testing,MUM-PUN,0
4,2,2,1,False,3.4,33,Traction Distribution,Track,Repair,HWH-KOL,0
5,3,4,2,False,2.83,-5,Engineering,OHE,Testing,MAS-BLR,1
3,2,2,3,True,4.14,-8,S&T,Track,Inspection,HWH-KOL,0
5,2,5,2,True,3.48,38,Traction Distribution,Bridge,Replacement,DEL-AGR,1
5,4,1,4,False,1.22,18,Engineering,OHE,Replacement,HWH-KOL,1
2,2,3,5,False,1.72,31,Traction Distribution,Track,Repair,DEL-AGR,0
5,5,2,2,False,1.72,42,Traction Distribution,Point Machine,Testing,MAS-BLR,1
2,4,4,2,False,3.8,14,Engineering,Signal,Replacement,HWH-KOL,1
2,1,4,1,True,3.04,31,Engineering,Signal,Testing,MUM-PUN,0
4,2,5,4,False,2.63,26,Engineering,Point Machine,Repair,BPL-NGP,0
4,1,4,3,False,3.56,29,Engineering,Bridge,Repair,HWH-KOL,0
1,2,2,2,True,5.84,38,Engineering,Bridge,Replacement,HWH-KOL,0
5,2,2,2,False,2.23,14,Traction Distribution,OHE,Replacement,HWH-KOL,1
1,1,5,1,True,3.36,23,Engineering,Bridge,Repair,MAS-BLR,1
5,1,3,3,False,3.14,30,Engineering,Signal,Repair,MAS-BLR,1
1,3,1,4,False,4.44,-4,Traction Distribution,Bridge,Overhaul,MUM-PUN,0
4,4,5,2,False,4.52,1,Engineering,Bridge,Repair,MUM-PUN,1
4,2,4,1,False,4.51,-8,Engineering,OHE,Overhaul,MAS-BLR,0
4,5,1,3,False,1.61,0,Engineering,OHE,Replacement,BPL-NGP,1
4,2,4,4,True,2.97,18,Traction Distribution,OHE,Testing,DEL-AGR,1
3,5,4,2,False,4.96,56,Traction Distribution,Track,Repair,HWH-KOL,1
4,2,4,2,False,2.6,55,Traction Distribution,Bridge,Testing,DEL-AGR,0
2,3,5,1,True,5.91,43,Traction Distribution,Point Machine,Replacement,DEL-AGR,1
4,4,3,4,False,2.51,27,Engineering,Bridge,Inspection,DEL-AGR,1
3,1,3,5,False,3.24,1,S&T,Track,Overhaul,MUM-PUN,1
3,5,4,4,False,3.11,12,S&T,Bridge,Repair,DEL-AGR,1
3,2,1,3,False,2.89,43,Engineering,Signal,Inspection,MAS-BLR,0
3,3,1,4,False,5.15,54,Traction Distribution,Bridge,Replacement,HWH-KOL,1
1,4,5,2,False,1.35,58,S&T,Bridge,Overhaul,HWH-KOL,1
1,4,2,1,True,3.62,15,Traction Distribution,Bridge,Repair,MAS-BLR,1
2,1,3,2,False,3.9,22,Engineering,Bridge,Overhaul,MAS-BLR,0
1,5,2,4,True,5.18,24,Traction Distribution,Track,Inspection,MAS-BLR,0
3,4,2,4,True,3.85,-10,Engineering,Signal,Inspection,DEL-AGR,1
4,5,3,5,False,5.78,-6,Engineering,Signal,Overhaul,BPL-NGP,0
4,3,5,5,False,5.3,-11,S&T,OHE,Inspection,MAS-BLR,1
3,4,3,2,False,2.42,41,Engineering,Bridge,Repair,DEL-AGR,0
5,3,1,1,True,5.23,2,Engineering,Point Machine,Replacement,MAS-BLR,0
3,5,2,2,False,5.77,38,Traction Distribution,OHE,Inspection,MAS-BLR,0
1,5,1,5,False,1.91,14,S&T,Bridge,Testing,MAS-BLR,1
4,5,5,5,True,3.86,45,S&T,Track,Replacement,MUM-PUN,1
3,3,2,1,False,2.05,-6,Engineering,Point Machine,Repair,DEL-AGR,0
4,4,2,1,True,4.07,10,Traction Distribution,OHE,Testing,BPL-NGP,1
3,2,1,3,False,1.02,1,Traction Distribution,Signal,Replacement,BPL-NGP,1
3,3,3,4,False,4.54,18,Traction Distribution,Point Machine,Overhaul,BPL-NGP,0
1,4,5,5,False,2.81,28,S&T,Bridge,Inspection,MUM-PUN,1
3,1,3,4,False,3.73,-2,S&T,Bridge,Inspection,DEL-AGR,1
4,4,4,2,False,0.64,36,Engineering,Bridge,Inspection,MAS-BLR,1
2,1,1,1,False,4.32,58,Engineering,Bridge,Replacement,HWH-KOL,0
4,3,1,4,False,3.23,-11,Engineering,OHE,Testing,MAS-BLR,0
1,3,4,3,True,3.94,-8,S&T,Track,Testing,MAS-BLR,0
2,3,1,5,True,2.24,57,Traction Distribution,Bridge,Replacement,HWH-KOL,0
3,3,3,3,False,1.3,34,Traction Distribution,OHE,Inspection,MUM-PUN,0
5,3,2,3,True,2.89,54,Engineering,Point Machine,Overhaul,MAS-BLR,0
2,3,1,2,True,5.69,38,Engineering,Track,Overhaul,BPL-NGP,0
2,3,3,1,True,1.75,39,Engineering,Bridge,Replacement,BPL-NGP,0
3,3,5,5,False,4.22,-3,Engineering,Bridge,Overhaul,MAS-BLR,1
5,4,1,5,False,0.77,24,S&T,Bridge,Replacement,MUM-PUN,0
5,3,5,1,False,4.45,13,Traction Distribution,Track,Overhaul,MUM-PUN,1
1,4,3,4,False,1.81,48,Engineering,Bridge,Replacement,DEL-AGR,0
2,5,4,2,False,2.98,-11,Traction Distribution,Point Machine,Inspection,MUM-PUN,0
5,5,1,3,False,2.52,-13,S&T,Track,Inspection,HWH-KOL,1
1,1,5,5,False,1.12,27,S&T,OHE,Testing,HWH-KOL,0
5,4,1,5,False,2.4,58,Traction Distribution,OHE,Replacement,DEL-AGR,0
2,2,5,1,False,2.43,60,Traction Distribution,Point Machine,Repair,MAS-BLR,0
5,1,4,2,False,3.37,30,Traction Distribution,Track,Repair,HWH-KOL,0
2,4,2,5,False,5.85,18,S&T,OHE,Inspection,HWH-KOL,1
3,1,1,5,False,3.09,6,Engineering,Point Machine,Testing,MAS-BLR,0
4,5,4,1,True,5.53,60,Traction Distribution,Point Machine,Inspection,HWH-KOL,1
1,4,1,5,False,3.04,-1,Traction Distribution,Point Machine,Repair,MAS-BLR,0
3,5,4,3,True,1.09,-5,Traction Distribution,Point Machine,Replacement,MUM-PUN,1
3,4,4,3,True,1.77,24,S&T,Point Machine,Repair,MAS-BLR,1
4,5,2,1,False,2.74,15,Engineering,Track,Inspection,MAS-BLR,0
5,1,2,4,False,2.29,23,Engineering,Point Machine,Repair,BPL-NGP,1
4,5,2,4,False,5.26,53,S&T,Signal,Overhaul,MAS-BLR,1
3,1,2,4,False,4.23,6,S&T,OHE,Repair,BPL-NGP,0
3,2,1,4,False,3.68,51,Engineering,OHE,Testing,BPL-NGP,0
3,1,2,5,False,3.2,1,Traction Distribution,Bridge,Repair,BPL-NGP,1
5,3,4,5,False,2.68,10,S&T,Signal,Inspection,MAS-BLR,1
2,4,2,4,False,3.87,-14,Engineering,Signal,Inspection,BPL-NGP,0
1,2,4,5,False,1.19,36,S&T,Point Machine,Testing,BPL-NGP,0
2,5,5,4,False,1.39,50,Traction Distribution,Point Machine,Replacement,DEL-AGR,0
1,4,4,4,False,2.17,52,S&T,Signal,Testing,MAS-BLR,0
1,4,3,3,False,1.44,-2,Traction Distribution,Signal,Overhaul,BPL-NGP,0
1,5,2,4,False,4.22,43,Traction Distribution,Bridge,Inspection,DEL-AGR,1
4,3,5,1,False,0.64,-4,S&T,Bridge,Repair,MUM-PUN,1
4,2,2,3,False,1.38,33,S&T,Track,Overhaul,MUM-PUN,1
4,5,3,3,False,5.46,38,Engineering,Signal,Inspection,MUM-PUN,1
3,3,3,5,False,5.99,-3,Traction Distribution,Point Machine,Testing,MAS-BLR,1
4,4,4,1,False,3.18,-6,Traction Distribution,Track,Inspection,HWH-KOL,1
1,2,3,4,False,3.22,-9,S&T,Track,Overhaul,HWH-KOL,0
5,2,4,1,False,4.75,39,Engineering,Track,Testing,BPL-NGP,0
3,1,5,5,False,0.7,32,S&T,OHE,Replacement,MUM-PUN,0
5,2,2,5,True,2.85,-6,Traction Distribution,OHE,Testing,MAS-BLR,1
1,1,5,2,False,1.05,23,Engineering,Signal,Testing,BPL-NGP,0
3,4,1,5,False,2.71,45,S&T,Track,Overhaul,MUM-PUN,0
4,1,5,3,False,5.91,3,S&T,Point Machine,Overhaul,BPL-NGP,1
3,4,1,5,True,4.64,31,S&T,Bridge,Repair,HWH-KOL,0
3,5,5,4,False,5.92,7,S&T,Signal,Repair,MUM-PUN,1
1,4,2,1,False,4.6,5,Traction Distribution,Point Machine,Testing,MAS-BLR,0
2,3,5,2,False,3.84,15,Engineering,Point Machine,Repair,MUM-PUN,1
2,1,1,3,False,4.65,12,S&T,OHE,Replacement,DEL-AGR,0
2,5,3,2,False,4.13,23,Traction Distribution,OHE,Replacement,HWH-KOL,0
4,1,5,1,False,3.05,1,Traction Distribution,Track,Repair,HWH-KOL,1
4,4,1,5,True,2.11,15,S&T,Bridge,Repair,DEL-AGR,0
4,4,2,5,True,3.36,32,Traction Distribution,Bridge,Replacement,BPL-NGP,1
2,1,1,3,False,1.92,15,Engineering,Point Machine,Repair,MUM-PUN,0
5,4,2,2,True,3.18,35,S&T,Bridge,Testing,DEL-AGR,1
1,1,2,1,False,1.3,-6,Traction Distribution,Point Machine,Inspection,HWH-KOL,0
2,2,4,5,False,3.61,-4,S&T,Point Machine,Repair,DEL-AGR,0
1,5,2,2,True,1.85,50,S&T,Bridge,Testing,BPL-NGP,0
2,5,1,1,False,2.11,20,S&T,Track,Replacement,DEL-AGR,0
5,2,1,2,False,3.24,31,S&T,Signal,Overhaul,HWH-KOL,0
2,5,5,3,False,1.39,41,Traction Distribution,Signal,Overhaul,DEL-AGR,1
5,5,5,4,False,5.79,-4,S&T,Point Machine,Repair,MUM-PUN,1
3,4,2,2,False,2.96,58,Engineering,Signal,Overhaul,MAS-BLR,0
4,1,1,5,True,2.44,17,Engineering,Signal,Repair,BPL-NGP,0
3,2,1,4,True,0.66,52,Traction Distribution,OHE,Overhaul,HWH-KOL,0
2,4,5,5,False,5.14,17,S&T,Point Machine,Inspection,DEL-AGR,0
4,5,4,2,False,3.94,16,Engineering,OHE,Overhaul,MUM-PUN,1
5,5,4,4,False,2.79,31,Engineering,Track,Inspection,MUM-PUN,1
2,3,2,2,True,1.85,0,Engineering,Point Machine,Testing,HWH-KOL,0
4,2,4,4,False,4.6,31,Engineering,OHE,Overhaul,MUM-PUN,0
2,5,1,4,True,5.7,59,Traction Distribution,Track,Inspection,MAS-BLR,1
4,2,4,2,False,2.59,34,S&T,Point Machine,Inspection,BPL-NGP,1
4,2,3,5,False,1.24,-9,S&T,Signal,Inspection,MUM-PUN,1
3,5,2,5,False,1.1,38,Engineering,OHE,Testing,DEL-AGR,1
4,3,4,5,False,0.53,-12,Traction Distribution,Bridge,Replacement,HWH-KOL,1
2,2,4,2,True,4.59,-7,Traction Distribution,Signal,Repair,HWH-KOL,0
1,1,3,4,False,5.9,7,Traction Distribution,Bridge,Repair,BPL-NGP,0
1,3,1,1,False,5.96,8,S&T,OHE,Inspection,HWH-KOL,0
3,5,1,1,True,4.81,-14,S&T,Bridge,Repair,BPL-NGP,1
5,3,5,5,False,1.39,-13,Engineering,Bridge,Testing,MAS-BLR,1
1,4,2,1,False,5.88,45,Traction Distribution,Bridge,Replacement,HWH-KOL,0
3,2,2,5,True,2.3,20,Traction Distribution,Signal,Repair,BPL-NGP,0
4,4,4,3,False,2.33,0,Engineering,Point Machine,Inspection,MUM-PUN,0
2,4,2,2,True,4.28,18,S&T,Signal,Repair,MAS-BLR,1
4,4,2,1,False,0.77,37,Engineering,Bridge,Repair,HWH-KOL,0
2,4,4,4,True,5.04,41,S&T,Bridge,Inspection,BPL-NGP,1
5,3,3,4,False,5.99,7,Engineering,Point Machine,Overhaul,MAS-BLR,1
3,2,4,3,False,4.76,-2,Traction Distribution,Bridge,Overhaul,MUM-PUN,1
3,4,1,5,False,4.8,57,Traction Distribution,OHE,Testing,DEL-AGR,0
1,5,3,2,False,2.65,33,Traction Distribution,Track,Repair,MUM-PUN,0
3,5,3,3,False,0.86,59,Engineering,Bridge,Repair,MUM-PUN,0
5,2,4,2,False,4.86,9,Engineering,OHE,Testing,DEL-AGR,1
1,4,1,3,False,3.78,-6,Traction Distribution,Track,Repair,HWH-KOL,0
4,1,1,1,False,5.5,14,Engineering,Track,Overhaul,MUM-PUN,0
3,3,4,3,False,1.14,10,S&T,Point Machine,Overhaul,DEL-AGR,0
4,3,4,3,True,2.18,39,Traction Distribution,Bridge,Testing,DEL-AGR,1
4,2,5,3,False,2.48,39,S&T,Point Machine,Repair,MUM-PUN,0
3,5,2,3,False,4.26,-9,Engineering,OHE,Overhaul,MUM-PUN,0
2,5,5,4,False,4.83,30,Traction Distribution,Signal,Inspection,MAS-BLR,1
4,1,2,3,False,5.79,11,Traction Distribution,OHE,Overhaul,BPL-NGP,0
1,2,4,2,False,2.12,32,Engineering,Signal,Inspection,BPL-NGP,0
3,2,1,2,True,3.22,15,S&T,Signal,Overhaul,BPL-NGP,0
1,5,5,4,True,0.66,26,S&T,Track,Repair,MAS-BLR,1
4,3,2,5,False,1.89,39,S&T,OHE,Replacement,MUM-PUN,1
4,4,5,4,True,2.56,8,Traction Distribution,Signal,Inspection,DEL-AGR,1
1,5,2,4,True,3.77,0,Traction Distribution,Track,Overhaul,HWH-KOL,1
4,4,4,5,False,3.09,38,Engineering,Signal,Replacement,DEL-AGR,1
3,1,3,5,False,2.5,57,Traction Distribution,Point Machine,Overhaul,MUM-PUN,0
4,1,1,3,False,3.93,19,Traction Distribution,OHE,Repair,BPL-NGP,0
1,2,1,1,False,5.06,60,Engineering,OHE,Inspection,HWH-KOL,0
1,2,4,4,False,1.83,-1,Engineering,OHE,Replacement,BPL-NGP,0
3,4,1,4,True,2.39,47,S&T,OHE,Overhaul,HWH-KOL,1
1,1,2,2,False,4.38,60,Traction Distribution,OHE,Overhaul,HWH-KOL,0
2,2,3,5,False,4.78,8,Traction Distribution,Bridge,Repair,MUM-PUN,0
4,2,2,5,False,5.04,-3,S&T,Point Machine,Overhaul,MUM-PUN,1
1,1,1,2,False,1.65,35,Engineering,Track,Replacement,MUM-PUN,0
4,1,4,3,False,3.47,51,Engineering,Bridge,Repair,BPL-NGP,1
1,1,4,1,True,5.45,-8,Traction Distribution,Track,Inspection,MAS-BLR,1
1,3,4,1,False,2.66,34,S&T,Track,Repair,DEL-AGR,0
3,3,5,2,False,2.86,51,S&T,OHE,Inspection,HWH-KOL,0
4,3,1,2,False,5.92,-12,Traction Distribution,Signal,Overhaul,HWH-KOL,1
1,3,3,2,True,1.12,24,Engineering,Point Machine,Inspection,HWH-KOL,0
2,4,2,1,True,4.38,-9,Engineering,Point Machine,Inspection,MUM-PUN,0
5,5,5,3,False,5.18,-1,Traction Distribution,Track,Inspection,DEL-AGR,1
5,3,3,4,False,1.33,22,Engineering,OHE,Repair,MUM-PUN,1
3,4,1,2,False,4.43,10,Traction Distribution,Point Machine,Inspection,DEL-AGR,0
3,4,4,3,True,3.08,-8,Traction Distribution,Point Machine,Overhaul,DEL-AGR,1
2,4,1,2,False,5.19,46,Engineering,OHE,Inspection,MUM-PUN,0
4,1,2,4,True,5.49,1,S&T,Point Machine,Testing,BPL-NGP,1
3,5,4,4,True,5.3,51,Traction Distribution,OHE,Replacement,MAS-BLR,0
2,1,3,5,False,0.85,-1,S&T,Signal,Inspection,BPL-NGP,0
1,3,4,1,False,4.66,24,Engineering,OHE,Replacement,DEL-AGR,0
1,4,3,5,False,5.57,40,Engineering,Point Machine,Inspection,MUM-PUN,0
5,3,5,2,True,3.92,22,Engineering,Track,Testing,MUM-PUN,1
3,2,3,1,True,3.8,17,Engineering,Point Machine,Replacement,MUM-PUN,0
3,5,1,4,False,0.75,42,Engineering,Signal,Testing,MAS-BLR,1
3,1,1,1,True,5.21,-14,Engineering,Track,Repair,BPL-NGP,0
4,2,4,1,False,0.76,47,Traction Distribution,Point Machine,Inspection,HWH-KOL,0
1,5,1,5,False,2.22,37,S&T,Signal,Repair,HWH-KOL,1
1,4,2,2,True,5.59,43,Engineering,OHE,Replacement,MUM-PUN,0
2,1,1,3,False,5.72,17,Engineering,Point Machine,Overhaul,HWH-KOL,0
3,4,2,2,False,5.96,14,Engineering,OHE,Replacement,BPL-NGP,1
4,5,3,1,False,3.12,28,Engineering,Point Machine,Testing,MAS-BLR,1
3,1,1,1,True,1.48,34,Traction Distribution,Bridge,Repair,HWH-KOL,0
3,3,3,1,False,3.18,55,Engineering,Point Machine,Repair,DEL-AGR,0
5,3,5,3,False,1.06,50,S&T,Track,Replacement,MAS-BLR,1
1,1,1,3,False,5.3,-10,S&T,Signal,Inspection,MUM-PUN,0
3,2,1,1,False,3.58,-3,Engineering,OHE,Overhaul,DEL-AGR,0
3,1,2,2,False,2.72,56,Engineering,OHE,Inspection,HWH-KOL,0
3,1,5,2,False,0.94,15,Engineering,Signal,Overhaul,BPL-NGP,1
5,3,3,3,False,2.73,29,Engineering,Track,Repair,MUM-PUN,1
2,3,4,5,False,5.26,-10,Traction Distribution,Track,Repair,MUM-PUN,0
5,2,1,4,False,4.37,-7,Traction Distribution,Track,Overhaul,MUM-PUN,1
2,2,4,5,False,0.95,16,S&T,Bridge,Overhaul,MAS-BLR,0
3,1,1,1,True,1.38,39,Traction Distribution,Signal,Testing,MAS-BLR,0
3,4,4,2,False,2.66,43,Traction Distribution,Bridge,Repair,MAS-BLR,1
5,2,1,4,False,1.06,53,Traction Distribution,Signal,Testing,MUM-PUN,0
3,5,5,2,False,5.64,0,Engineering,Signal,Testing,MAS-BLR,1
2,3,2,5,False,4.09,1,Traction Distribution,OHE,Testing,MUM-PUN,1
1,5,1,3,False,1.02,26,S&T,Bridge,Testing,MAS-BLR,0
2,4,2,2,True,4.83,27,S&T,OHE,Overhaul,MAS-BLR,1
5,2,1,5,False,2.53,-12,Traction Distribution,Track,Repair,BPL-NGP,1
1,4,1,3,False,1.85,19,S&T,Signal,Overhaul,MAS-BLR,0
5,2,3,5,True,3.63,53,Engineering,Bridge,Overhaul,DEL-AGR,1
3,1,2,3,False,0.57,-2,Engineering,Track,Repair,BPL-NGP,1
1,2,2,1,True,3.06,47,Engineering,Bridge,Testing,DEL-AGR,0
2,2,5,4,False,5.14,19,Engineering,Bridge,Overhaul,BPL-NGP,1
3,1,1,1,False,5.6,25,S&T,Signal,Replacement,MUM-PUN,0
2,1,2,4,False,2.38,34,Traction Distribution,OHE,Testing,MAS-BLR,0
1,5,1,3,False,4.03,38,S&T,OHE,Inspection,HWH-KOL,0
4,3,3,4,True,1.75,33,S&T,Point Machine,Overhaul,BPL-NGP,1
4,3,2,5,False,3.58,-7,Engineering,Point Machine,Overhaul,MUM-PUN,1
1,5,1,3,False,1.9,8,S&T,Track,Inspection,DEL-AGR,0
2,2,1,5,True,3.64,49,Traction Distribution,Signal,Replacement,BPL-NGP,1
2,3,5,1,False,1.44,-11,Engineering,Bridge,Replacement,MUM-PUN,0
4,5,1,1,False,5.68,39,S&T,Signal,Repair,BPL-NGP,1
4,4,4,5,False,5.38,25,Traction Distribution,Signal,Testing,HWH-KOL,1
4,2,5,3,False,2.35,-6,S&T,Point Machine,Overhaul,MAS-BLR,1
5,2,3,3,False,4.77,-5,S&T,Track,Repair,MUM-PUN,0
4,1,2,1,False,1.03,59,Engineering,Track,Replacement,HWH-KOL,1
2,1,4,2,False,4.57,-12,Traction Distribution,Point Machine,Inspection,BPL-NGP,1
1,1,5,4,False,2.05,-13,S&T,Track,Inspection,BPL-NGP,0
4,4,1,5,False,1.25,-13,Engineering,Bridge,Overhaul,DEL-AGR,1
5,4,5,5,True,4.23,33,S&T,Signal,Testing,BPL-NGP,1
5,3,5,3,False,3.08,55,Traction Distribution,Track,Repair,HWH-KOL,1
2,4,1,3,True,3.42,-2,Traction Distribution,Point Machine,Repair,MAS-BLR,0
2,1,1,1,False,3.36,45,Engineering,Track,Overhaul,BPL-NGP,0
1,2,4,1,False,0.83,39,S&T,Signal,Replacement,BPL-NGP,0
1,2,1,3,False,0.78,3,Traction Distribution,Signal,Inspection,MUM-PUN,0
3,5,4,3,False,3.81,-9,Traction Distribution,OHE,Overhaul,MUM-PUN,1
3,4,1,1,False,3.93,22,S&T,OHE,Repair,BPL-NGP,1
2,5,4,3,False,0.76,-8,Engineering,Track,Inspection,DEL-AGR,0
2,2,2,4,False,2.58,-6,Traction Distribution,Signal,Replacement,HWH-KOL,0
5,5,1,5,False,3.87,20,S&T,Track,Overhaul,MAS-BLR,0
3,1,1,5,False,4.11,47,S&T,Track,Replacement,MAS-BLR,0
5,2,1,2,False,5.06,60,Traction Distribution,Point Machine,Overhaul,BPL-NGP,0
5,3,3,2,False,2.81,33,S&T,OHE,Repair,HWH-KOL,1
